id	Newspaper_Title	Infection_Location	Infect_Lat_Long	Reporting_Location	Report_Lat_Long	Date	Link	Translation	Language	Tags_Keywords	Image_Link
58	El Diario oficial de avisos de Madrid 	St. Petersburg; Copenhage; Vienna; London; Stockholm; Paris 		Madrid		1889-12-13T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000602187&page=3&search=grippe%2C++influenza&lang=en	The dengue flu  With other names and the most general (?) is known as the epidemic today reigning in Europe. Although it appears with benign character, it has developed and acquired in London, Vienna, Saint Petersburg, Paris, and Stockholm, called profoundly the attention of the authorities.  The telegrams from Saint Petersburg say that the sickness has left in some cases results of large lung inflammation, Mr. Jorki, director of the International Bank of Saint Petersburg, is in danger of death for this reason.  In this population descends the epidemic, motivated by atmospheric variations, the increase of cold has decreased the sickness.  In Copenhagen the epidemic appeared among the soldiers of the garrison.  In Vienna only 13 cases of the flu were recorded in the General Hospital. The sick are nine physicians y four wet nurses. They believe these cases are not of epidemic character.  In London, it is already present West of the capital, but until the date they are unsure of the number of attacks. In Stockholm, the Dutch have patients in the thousands.  In Paris it has taken a great increase, invading the market neighborhoods and the Grenche (?), many of the public officials, the central school and other educational institutions.  They also have benign character and has not registered any death, less than complicated with chronic conditions, or attack weak natures.  In the stores of the Louvre there are 3,000 employees and yesterday 670 were ill.  In the view of the famous Doctor Brouarjel y Doctor Proust, the employee’s sickness es the epidemic known as the flu. This shows extreme benignity and without the danger of death.  The sickness appeared yesterday in the central post offices.  A fifth of the employees are affected with the flu.  For this reason there was a special session held by the City Council. The council member Lepin questioned prefect of the police, asking the truth be told about the health of the city.  The prefect answered, reading the opinions of the Doctors Brouardel and Proust, which reassured the Council. The Louvre employees have begun to meet and mutiny, possessed by outrage by  believing that they are being neglected.  Administrators came calming them.  Several members also suffer from this epidemic (?) among them is Mr. Devello.  A newspaper of Magala said on the ninth more than sixty people were on bed rest, all well known in the population, some with cold and some with strange illnesses, with headaches (?) but without serious pain, they were unable to leave bed.  This lastest news is quite interesting and will not worry the public. 	Spanish	influenza, dengue, Saint Petersburg, epidemic, Vienna, Copenhagen, London, Stockholm, Louvre, symptoms 	https://www.google.com/url?q=https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Images/Spanish%2520Newspaper%2520Images/Diario%2520Oficial%2520de%2520Madrid%2520Dec%252013%25201889.PNG&sa=D&usg=ALhdy29Q8DjkUeejtYQfH1oF_E-AsJ4-_g  
59	The Mercury	Paris, France; London, England		Hobart, Tasmania, Australia		1889-12-14T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/9225161?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||l-textSearchScope=*ignore*%7C*ignore*|||fromdd=20|||frommm=11|||fromyyyy=1889|||todd=30|||tomm=01|||toyyyy=1890|||l-word=*ignore*%7C*ignore*|||sortby#pstart823677	INFLUENZA EPIDEMIC.  The outbreak of influenza, which has spread throughout Europe, has assumed serious proportions in Paris, and is also affecting many persons in the West End of London.    	English	Serious	
60	New York Tribune	Antwerp; Rome		New York City		1889-12-14T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn83030214/1889-12-14/ed-1/seq-1/	Spread of the Influenza. Antwerp, Dec. 13. The influenza epidemic has made its appearance in this city. There are a large number of cases of the disease among the troops in garrison.	English	Troops; epidemic	
61	Freiburg Nachrichten	St. Petersburg		Freiburg		1889-12-14T00:00:00Z		Russia.  In the St. Petersburg the committee to protect the public health, the doctor to the Tsar held a talk about the influenza, in which he asserted, that the influenza is only the precursor to the cholera, which is imminent next spring. The bacteria of the influenza would overwinter until spring in Russia, in order to transform into Koch's bacteria (mycobacterium tuberculosis). At the end of his exciting talk, Dr. Zdekauer said: "God grant that I am mistaken." We actually hope, in addition the "St. Petersberg Newspaper" notes, that the good doctor is mistaken;  it would also not be the first time. We also hope that other doctors can be heard on this matter, so as not to escalate the vexation of the public .The committee to protect the public health has incidentally introduced a specific commission to research the question. As the "St. Petersburg Weekly Medical Journal" has done, in the last three weeks, a third of the population may, if not half of the population, be afflicted with the influenza. The emergence of the influenza might  be brought about for a long time through the low water table.  In Krakow and Lviv many cases of influenza have also been detected. London doctors draw attention to the fact that in England in 1833 was afflicted by a similar plague,  which was thought at it's first appearance to be cholera as it went through England. Later in 1847, it took on in London a dangerous form; 1,789 immediate fatalities were ascribed to it and the total death rate during the time of the epidemic was 5000 people, one should assume that at least one other disease contriubted to this death rate.  It seems that person to person transplantation of this catarrh like contagion is excluded, rather that the disease spreads in some other way. In western Europe it is known by the name "Russian Catarrh" and in Russia by the name "Chinese Catarrh."  According to new reports the influenza should have already occured in Krakow, Vienna, Berlin, and even in England.  Also in the large Louvre warehouses in Paris a fever  epidemic should be ruling.	German	tsar, cholera, tuberculousis, population, morbidity, china, Zdekauer	http://doc.rero.ch/record/139122?ln=en
62	El diario oficial de avisos de Madrid 	Paris; London; Vienna		Madrid 		1889-12-14T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000602200&page=2&search=grippe+influenza+&lang=en	 The Flu in Europe  In Paris A few days ago parisian rumors began to circulate within the public alarmed about an epidemic that has been declared on the large staff of the stores of the Louvre, a compound of 3,000 employees, adding to the number of sick, rising to 400.  The reports recollected on the 10th by The Times in the Louvre Direction and among the employees, results that some are sick, but that no affection (?) did not reign of the certain epidemic character.  All years in this era, in the preparations for Christmas increasing the work, notes the greater number of sick staff than ordinary, but recognizes the proportion as it has never been so great as now.  The doctor of the establishment describes the state of things as excess fatigue and sudden temperature change.  What causes doubt about the nature of the disease is that the patients do not have the same symptoms; some have fevers, others constipation, and many, after two or three days of rest, returned to their usual occupations.  These days we have had several employees  that said overwork has produced some constipation and headaches, fever according to the temperaments and predispositions of each. The local distribution of the Louvre leads to violent currents of air, which must have been the cause of the ailments of our peers, and it is note worthy that the section of silks, one of the most exposed to the currents, has also been one of the most attacked, had 60 employees in it, a third part is absent.  Among the (?) there are malcontents, who pretext the the cause of their ailments as food taken in the factory, which is not permissible, because first cashier, the second, and the manager of the section eat out, who were also attacked.  These statements, continuing The Times, agree with us, have been made in the Dirrection.  We adopt in our stores, said M. Rousseau, all the precautions that hygiene recommends, so, following the opinion of my doctor, we mandate boiling water from the Siene and throw in a lot of endive and lettuce, destined to feed the staff, because the food bought at the central market could be contaminated by the water from the Seine. Referring to the epidemic, we can assure that it does not exist in our stores.  What we have is an epidemic of flu and constipation that winter has brought to Paris, which attacks our employees, as it can attack all the inhabitants of the population.   The administration staff of the Central Telegraphs and Post Office on Grenelle street has been attacked by a disease analogous to with that of the Louvre.   The staff includes 550 men and 420 women.  Until December 5th there was no note of mortality in these services, and only 20 employees suffered from lingering ailments, but by December 6th and 7th the number of men absent out of 550 suddenly rose to 40: on the 8th it was 70, and by the 10th it was 80. The patients feel generally tired, they have red spots on their faces appeared, they complain of severe headaches and have high fevers.   The doctor of the Post Office administration was not able to give anyone a precise diagnosis, and clarifying them feverish ailments, or flu.  There were 50 absences in the female staff.  Doctor’s impressions are that these ailments present similarities to the flu, but that all the cases have a very benign character.  This epidemic can not be recognized by these ailments, because the post office employees eat in their homes, and neither can [the epidemic] be attributed to the poor conditions of the premises, as the Central post office is in a brand new building, and the rooms where the employees work have ceilings, are well ventilated, and are arranged according to the latest advances in hygiene. In Vienna The flu appeared strongly in the capital of Austria, but has not taken a good epidemic characteristic. However, since last Friday, many cases have occurred.  The authorities and doctors take all measures to reduce the spread. It is expected that the illness is not as strong as in Russia, and the cases presented are not fatal, the attacks relieve after four or five days of fever and headaches.  In Krakow and Denberg (?) there are many cases, especially in the garrison. There are still many ill in the garrison troops to Vienna.  In London  A famous London doctor has declared to a reporter that two cases of mysterious sickness occurred in Bedford Park in two weeks.  The last flu epidemic appeared in England in 1849.  This disease, considered by several doctors as contagious, spreads where sanitary conditions are poor.   	Spanish		https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Images/Spanish%20Newspaper%20Images/Diario%20Oficial%20de%20Madrid%20Dec%2014%201889%20Part%201.PNG, https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Images/Spanish%20Newspaper%20Images/Diario%20Oficial%20de%20Madrid%20Dec%2014%201889%20Part%202.PNG
63	La Época 	Madrid				1889-12-14T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000522076&page=3&search=influenza+epidemia++grippe+dengue&lang=en	The Dengue PARIS 14--The grippe epidemic has presented itself so benignly in Paris that for most of the sick, two or three days in bed is enough to cure it.  	Spanish	Influenza, Flu, Europe, Pairs, Louvre, employees, Le Temps, epidemic, Christmas, attacks, grippe, benign, Vienna, Austria, Russia, fatal, Krakow, Denberg, garrison, London, , England, Symptoms	
64	La Unión Católico 					1889-12-14T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0004874587&page=1&search=influenza+epidemia++grippe+dengue&lang=en	The Mail is very straightforward on the subject of the influenza:         “That which, without the additional help of the dengue, caused a poor state of sanitation is the dryness and prolonged cold temperatures. Coldness and dryness are producing more damages to farms than people because the land is drying out and no longer able to be used to sow crops.”         The Globe wrote to this end:          “The fact is regrettable. But we are suprised hat the men of the conservative oposition have not directed a question at the government.”          “In order to demonstrate in our times there is more humidity in the atmosphere.”          No, there was more humidity in the atmosphere in the time of the Republic.          Orense explained very clearly why. Does The Globe not remember?   	Spanish		
65	La Unión Católico 					1889-12-14T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0004874587&page=2&search=influenza+epidemia++grippe+dengue&lang=en	The Influenza          Paris 14.--The grippe epidemic is so benign in Paris that most of the infirm are better after only two or three days in bed.          Berlin 14.--Dr. Leydon gave a lecture yesterday about the influenza epidemic that has spread throughout this city.          He said that as of now a third of the population of Berlin has been affected.          In effect, a house where no one has been affected in very rare. But fortunately the consequences have not been serious.          Many businesses have been obligated to shut down momentarily due to a lack of personnel.	Spanish		
66	El Siglo Futuro	Madrid		Madrid		1889-12-14T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000139792&page=5&search=influenza&lang=en	        El Estandarte supposes that all the ministers have been attacked by the flu epidemic.         We don’t believe it.         The most dangerous flu in politics is the flu of Mr. Martos.         And this flu is now at a great distance from the government.         And very close to the conservatives.         With that, El Estandarte fuels the brain.  	Spanish	politics	
67	Boston Daily Advertiser	Boston		Boston		1889-12-14T00:00:00Z		The Influenza. Changes of Its Advent to Boston—Fears at New York. (Editorial). ‘Yes,’ said a prominent physician to an Advertiser man this morning, ‘I believe that Boston soon will be afflicted with the influenza that has been epidemic in Paris and other cities in Europe. I have had already an unusual number of cases of colds in the head and know that several of my brother physicians have had a similar experience. The malady is by no means dangerous, but it is very unpleasant, a cold in the head not being a circumstance to it. There is no way to avoid it. If you are fortunate enough to escape it it is your pure good fortune. Old people will suffer most from the ravages of the epidemic particularly those who are debilitated. Healthy persons and young people will be let off easily			
68	Diario oficial de avisos de Madrid 	Madrid		Madrid		1889-12-15T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000602226&page=3&search=grippe++influenza+&lang=en	The epidemic  Our readers will not be shocked by this title at the head of these lines, because some we have to call this disease that prevails in various parts of Europe.   Henry Parville of the Journal of Debates says about the this epidemic:  “We must distinguish between bronchitis, grippe, or the influenza and dengue fever: the first is a local phlegmasia, cold pressed seasonal fruit. The grippe or influenza is a general, if not benign fever, complicated with pneumonia, which develops to an epidemic form with soft and damp weather. The dengue fever is in America, Persia, and Egypt, having entered Europe through Greece and Russia; a fever quickly erupts and is accompanied with joint pain, also complicated with pleurisy and pneumonia; recovery is long and painful; diagnosis can be confused with smallpox or scarlet fever.” The civil government did not have official news that Madrid recorded any case of influenza or dengue yesterday.  As for the case of the epidemic visiting Madrid, the minister of Public Works has put the industrial palace and the arts at the disposal of the civil governor, Mr. Aguilera, in company with provincial deputies Mr. Galvez Holguin and Mr. Pulido, who visited yesterday in order to thoroughly see if conditions met the challenge destined for the hospital.  Both the governor and the deputies agreed that the palace has the desired conditions and 400 beds will be installed very soon with the necessary service.  In the afternoon the president of the council and Mr. Galvez Holguin and Pulido held a meeting with Mr. Aguilera, attended by provincial Mr. Ronderos. Some slight work needs to be done on the part of the building destined to be the hospital.  It is said that in the days past Madrid had several cases of influenza, but the patients are better now. 	Spanish	grippe, influenza, Madrid, government	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Images/Spanish%20Newspaper%20Images/Diario%20Oficial%20De%20Madrid%20Dec%2015%201889.PNG
69	Le Temps Archives	Paris 				1889-12-15T00:00:00Z	http://www.letempsarchives.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=JDG/1889/12/15/1/Ar00111.xml&CollName=JDG_1870_1889&DOCID=215778&PageLabelPrint=1&Skin=LeTempsEn&enter=true&AW=1391447115354&sPublication=JDG&sScopeID=All&sSorting=IssueDateID%252cdesc&sQuery=l%2527influenza&rEntityType=&sSearchInAll=false&RefineQueryView=%2553%2565%2561%2572%2563%2568%20%2577%2569%2574%2568%2569%256e%20%2572%2565%2573%2575%256c%2574%2573&StartFrom=465&ViewMode=HTML	The cases of influenza are noted to have gained intensity. Many schools (L'ecole polytechnique & lycee St. Louis specifically) have seen many concentrated cases. At the Louvre cases of influenza seem to have entered and left quickly as many employees are beginning to reuturn to their services after a few days of rest. From Thursday to Friday the numbers effected increased from 120 to 150. 			
70	La Época 	Madrid				1889-12-15T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000522115&page=3&search=influenza+epidemia++grippe+dengue&lang=en	THE DENGUE          In the affected cities in Germany and equally in Rome, the epidemic continues to spread with extraordinary rapidity.          In Paris, the disease is slowly decreasing in both prevalence and intensity.          The wife of the President of the neighboring Republic and those of ministers Tirard, Freycinet, Guyot, and Constans have been afflicted by the dengue as well as Mr. Freycinet.          The state of atmospheric humidity is favorable to the spread of the epidemic. But it a general opinion among Parisian doctors that the disease will disappear when the temperatures increase.          The dengue is spreading the most rapidly and with the most intensity in Berlin.          The newspapers are suggesting preventative measure to fight the disease. There have been innumerable cases in the universities, schools, and theaters.          Several doctors, SPanish and foreign, say that the dengue out not be confused with the grippe. The former is always a benign disease that does not cause mortality while the later, although sometimes benign, can at times have as many victims as cholera.          The hope is that the predictions of the Parisian doctors come true and the epidemic disappears as soon as the temperature rise. This has occurred in the city of the Neva, where the disease disappeared as soon as the ice began to melt.   			
71	La Ilustración	Barcelona				1889-12-15T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0001445048&page=15&search=influenza+epidemia++grippe+dengue&lang=en	In Cracovia the dengue or influenza has spread very intensely, particularly among the soldiers of the garrison.          The rumor that the Tsar has suffered an attack of the disease has proved to be false. What is true, is that many members of the imperial family are afflicted with the influenza. To help the infirm family members, they have called in Dr. Leyden of Berlin.          There are regiments in which two thirds of the troops are ill.          The epidemic has already entered during their period of vacation.   			
72	Sacramento Daily Record Union	Berlin		Sacramento CA		1889-12-15T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn82014381/1889-12-15/ed-1/seq-4/	In Foreign Lands. From Germany’s Capital.  Influenza has about run its course here. At least a third of the population have suffered from it and several members of the Imperial family had it.			
73	New York Tribune	Berlin		New York City		1889-12-15T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn83030214/1889-12-15/ed-1/seq-8/	The Influenza as a Precursor to Cholera. Professor Virchow has recovered from the influenza. Several members of the Imperial family have had it. The ‘National Zeitung” denounces those who set forth gloomy theories of the epidemic, and shows that the health of Berlin is good, and that the mortality is lower than in any other great city, save only London. No official estimate has been made of the cases of influenza that have occurred in the city. It is known that few families have escaped, and it is thought that a third of the population has been ill. The medical press discredits the theory that there is a correlation between epidemics of influenza and those of cholera, although it is well-known that several times cholera has followed the influenza.			
74	San Francisco Chronicle	London		San Francisco		1889-12-15T00:00:00Z		The Influenza. All Europe Forced to Sneeze. Doctors Talk about the Epidemic. Physicians Who Do Not Believe That It Precedes the Cholera. London, December 14. In the great international sneezing contest now raging England is seriously handicapped by her slow start, but climatic advantage will more than overbalance this. In the last ten days the sun has studiously avoided interfering with the fog, and the atmosphere has been more than moist enough to drown the hardiest microbe that ever engaged in the influenza business. Londoners do not deny that the influenza is now rampant in their midst, but are loth to admit that it is communicated by a microbe; on the ground that none but the deadliest variety could exist here under the present conditions. Nervous people are beginning to prepare to receive the cholera, while indications grow stronger daily of a corner in handkerchiefs.			
75	Omaha Dail Bee	Paris		Omaha NE		1889-12-15T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn99021999/1889-12-15/ed-1/seq-1/	The Epidemic of Influenza. It is Now in Full Swing Among the Population of Paris. What its Symptoms Are. Interviews with Some of the Supposed Learned French Physicians Regarding the Malady. Various Opinions Given. The Scourge in France. (Copyright 1889 by James Gordon Bennett). Paris, December 14. [New York Herald Cable. Special to The Bee] The changes in the weather have been simply frightful in twenty-four hours. The thermometer as risen 15 degrees and fallen 10 degrees. This morning was clear, warm, and bright. Members of the jockey clubs strolled slowly through the Rue Scribe in spring overcoats, smoking cigarettes. This afternoon everybody was muffled up in furs and we had a biting snow storm. This evening was cold and clammy, while a fog has settled upon us and everybody is coughing and sneezing. The influenza epidemic is in full swing. It has captured the military school of St. Cyr; it has attacked the corps de ballet at the opera; it has made a clean sweep through the great shops like the Louvre and Ben Marche; in fact, nothing since the Eifel tower has absorbed such public attention as this aggravating and mysterious malady that has swooped down upon us from Russia and today holds not less than 100,000 Parisians in its annoying but, happily, harmless clutches. The Herald correspondent went out today in pursuit of information regarding this curious malady, and two of the best-known specialist of France were interviewed. Dr. Albert Rodin of the Academie de Medicine expressed himself as follows: ‘This disease is known as influenza, or more commonly in French as la grippe. Five days ago I had my first case, and since then I have treated at least twenty patients. Unquestionably the epidemic will continue to spread, how far it is impossible to say. As to its cause medical science today is practically at a loss. We can, to be sure, tell the public that it is due to the ravages of an undiscovered microbe, but the public takes only indifferent interest in that fact. ‘Why such an epidemic should sweep across Europe one year and then remain unknown for a decade is beyond our power to explain. The theory has been advanced that the influenza is the forerunner of cholera, but I regard that as pure nonsense. It is true that several times in the present century an influenza epidemic has been closely followed by a visitation of the cholera. It is also true that several times in the same century there has been an epidemic of influenza with no cholera following, just as there have been epidemics of cholera with no influenza preceding.’  Dr. Villemin of the Academie de Medicine was next seen. It is he whose name has been of late years so prominently before the Parisian public in connection with measures designed to check the terribly spread of consumption in the metropolis and in the French army. He spoke of the new epidemic in the same cheerful way a dramatist would discuss a successful play. ‘It is almost too soon,’ he began, ‘to speak positively about the epidemic which seems to be breaking out in Paris. It is generally assumed to be what we have been accustomed to call la grippe, and yet in reading accounts which have come from St. Petersburg, I have been struck by the presence of one symptom not usually observed in that disease. I refer to the appearance of a red rash on the bodies of patients. Now, there is in Syria and other Eastern countries a very common fever known as la dengue, which is accompanied by the presence of such as rash as described. This fever has even reached westward as far as Constantinople, and I am disposed to believe that the St. Petersburg epidemic is nothing less than this Syrian la dengue’. ‘And are we, then, going to have this Syrian fever in Paris?’ ‘Oh, there is nothing to be alarmed about. La Dengue belong to the category of maladies like scarlatina, measles, etc., which cause very little trouble. They run their fixed course in a few days. The patient gets well or occasionally dies, and that’s the end of it.’ ‘Do you attach any importance to that epidemic of influenza, or whatever it is, as a precursor of cholera?’ ‘Not in the least. There is not the remotest connection between the two diseases. Both are contagious, to be sure, but cholera is so chiefly by infected water, while the microbes of this St. Petersburg epidemic spread through the air and get into the system through the lungs.’ ‘Then one is liable to catch this influenza merely by going into a room where some one who has it has been breathing?’ ‘Certainly, or even by breathing one of the influenza microbes in the street, in a café, at a theater, in a railway carriage—anywhere.’ ‘Then the whole population is sure to be down with influenza sooner or later?’ The doctor laughed and shrugged his shoulders. Dr. Coroil, one of the best known specialists are tuberculosis, and a member of the Academie de Medicine, said: ‘This epidemic in our midst and about which we have received such varied accounts from St. Petersburg is simply La Grippe, an epidemic, a contagious disease of slight importance. A person suffering from it need not ever call in a doctor. Let him remain indoors a few days and keep warm, or, if the case is severe, let him stay in bed and drink plenty of tissane [sic]. That will put him right in short order. Yes, undoubtedly the epidemic is caused by microbes breathed into the lungs, but as yet we have not been able to discover this microbe. To be more accurate, I should say that we have not yet succeeded in distinguishing the influenza microbe from a quantity of others which are always found in the expectorations of persons suffering from that disease. It is not generally known, but the fact that saliva of healthy persons contains ten or twenty different kinds of microbes, which are not only harmless but absolutely necessary to digestion. As soon, however, as the person becomes affected with any disease of a contagious nature the number of microbes in the various bodily secretions become considerably increased and what makes the task difficult is that what I may call good microbes and bad microbes become hopelessly mixed up and it takes us years of patient experimenting to separate and classify them. In my laboratory I could show you jars and jars filled with cultivated consumption microbes. It is not long since a Russian doctor discovered a whooping cough microbe and the cholera microbe, as you know, has been unquestionably recognized. One of these days some savant will single out of the mass of tadpole-like creatures the influenza microbe, and that will be a happy day for him.’” 			
85	Diario oficial de avisos de Madrid 	Madrid 		Madrid 		1889-12-18T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000602285&page=3&search=grippe++influenza+&lang=en	The provincial Board of Health, met yesterday afternoon under the leadership of the civil governor, in Madrid the existence of disease, with epidemic characteristics of grippe, taking a benign form. This disease does not spread by contagion and is completely different from dengue.  The Board of Health agreed to a vote of thanks to the governor for his actions, finding them plausible and unanimously approve.  Grippe is more than a passing sickness, that depends almost completely on weather conditions, it should not take preventative measures and only by statistical analysis, the governor has ordered the sub delegates of medicine to give daily to the [grippe] invasions that occur in their districts. The poor patients that request to be assisted in the hospital of the Palace of Fine Arts, have also voted and agreed to thank the Minister of Public Works for the transfer of the building. 	Spanish	grippe, benign, dengue,	https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Images/Spanish%20Newspaper%20Images/Diario%20Oficial%20de%20Madrid%20Dec%2018%20part%201.PNG, https://scholar.vt.edu/access/content/group/05ff0d36-d2c7-467b-8609-8c34c8044809/Images/Spanish%20Newspaper%20Images/Diario%20Oficial%20de%20Madrid%20Dec%2018%20part%202.PNG
86	La Monarquia	Madrid				1889-12-18T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0003539909&search=&lang=en	The trendy disease  Paris, 17 - Influenza is disappearing from the cities of Austria where it had most recently presented itself.  Paris, 17 – influenza or trancazo has appeared in many French cities, but in all of these parts it has presented itself very mildly, leaving citizens to be bedridden for two or three days before being cured.  			
87	Intelligenzblatt und Berner Stadtblatt	Paris		Bern		1889-12-19T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	        Little Chronicle.         • More non-serious than the reports of the Denghe fever or the influenza are the ones about the impending cholera. One ? report in Rome, from the Italian envoy in Teheran, states that in Bagdad, Batzra, Baschri, and Mohammera cholera cases have occurred lately. The danger of the spread of disease through a variety of points of the Ottoman empire is greater, as more than 40,000 Mahommaden (Musilms) pilgrims, who this year after they went on a pilgrimage in the Karbala places, in that area situated near Bagdad, will arrive soon back in their homelands. These Mahommaden pilgrims were always the main propagators of the cholera.          • In Paris are:  236 of the 1122 civil servants of the central telegraph office and 87 of the 253 the salaried telephone women sick from the influenza.         • The influenza, whose harmlessness was something happily expressed, was just something that swept through their homes, and will gladly waive any and all invitations to them. One would not play such a frivolous game with other diseases, but in which, so to speak, because of the more humorous character of the influenza, one can allow at most that sort of thing. It has gradually come into fashion, that one must formally be ashamed, when one is forced to confess in front of friends and acquaintances, that they have been spared so far from each bout. Only people, who are not able to keep in step with the times, hide their light irresponsibly, as under a basket, that they always speak of the catarrh, where others would at least say the grippe. He who, but from his nature tends to boast, who boasts already of the least questionable stages of the influenza, if only a sip of coffee has come unrightly into his throat.	German	Dengue fever, cholera, Cyon, Ottoman, harmless, civil servant, morbidity, pilgrim	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1889/12/19/4/Ar00408.xml&CollName=ISB_1881_1890&DOCID=115050&PageLabelPrint=4&Skin=BernA&AW=1391639781798&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=5&ViewMode=HTML
88	Intelligenzblatt und Berner Stadtblatt	Neuchatel		Bern		1889-12-20T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	Switzerland. Neuenburg (Neuchatel) In Locle, 500 children and 10 teachers are sick with the influenza. In Charde-Fonds, all the postmasters are ill with the sickness and must be replaced in the service.	German	children, teacher, postmaster	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&sSorting=IssueDateID%2Casc&Key=ISB%2F1889%2F12%2F20%2F3%2FAr00300%2Exml&PageLabelPrint=3&AW=1391214787440&CollName=ISB_1881_1890&DOCID=115082&sScopeID=All&Skin=BernA&sPublication=ISB&sQuery=influenza&RefineQueryView=&rEntityType=&sSearchInAll=false&StartFrom=10&ViewMode=GIF&Continuation=1
89	Intelligenzblatt und Berner Stadtblatt	Zurich		Bern		1889-12-20T00:00:00Z	http://intelligenzblatt.unibe.ch/Default/Skins/BernA/Client.asp?Skin=BernA&AppName=2&AW=1398114936674	        Little Chronicle.         No would anticipate today, that like in 1873, the influenza would spread in Zurich with the same severity, as is now reported there from the large cities. A correspondent of the "Land Carriers" said of the report of one of the oldest  eminent citizens:   That the epidemic appeared suddenly and spread quickly through Zurich; the existing cure, lime blossoms, was quickly sold out in the apothecaries. Apparently, the baths were badly harassed when, in an individual quarter, a daily bread shortage occurred. The plague often seems like a throat catarrh with a fierce burning. It seems that despite this, a dangerous aftermath seems to only happen for the weak or physically sick, such as how they suddenly degenerate into typhus. It may remind elderly people of many tragic-comedy situations, such as the following: They are making repairs in a high school building. The master and a professor find themselves in a room, when  the latter suddenly declares, he is no longer able to lift the drawers because of weakness. The answer, of the yet powerful craftsmen was, he is barely able, to manage to carry away a piece of wood from the place. Incidentally Bogels Chronicle says, the sickness has rather fiercely resided in the Bülach district. In Zurich barely one in ten stays healthy.	German	remedy, lime blossoms, typhus, throat catarrh	http://intelligenzblatt.unibe.ch/Default/Scripting/ArticleWin.asp?From=Search&Key=ISB/1889/12/20/4/Ar00402.xml&CollName=ISB_1881_1890&DOCID=115086&PageLabelPrint=4&Skin=BernA&AW=1391214787440&sPublication=ISB&sScopeID=All&sSorting=IssueDateID,asc&sQuery=influenza&rEntityType=&sSearchInAll=false&RefineQueryView=&StartFrom=10&ViewMode=HTML
